twitter_screenname,lastunique,legislator_id
WalkerThomas_KY,Thomas W,122
KyRepDJ,Johnson DJ,55
RepDonohue,Donohue,25
WesleyMorganKY,Morgan,81
slmeredithky1,Meredith S,73
AngieHatton16,Hatton,45
MaryLouMarzian,Marzian,65
ChrisFugate11,Fugate,33
PrattforKY,Pratt,92
RickGirdler4KY,Girdler,35
KYAlGentry,Gentry,34
KYStanLee,Lee,63
rep_webber,Webber,130
RickNelsonKY,Nelson,84
SteveWestKY,West,132
kydavidgivens,Givens,36
SpeakerRichards,Richards,97
LeaderAdkins,Adkins,2
jsimsjr96,Sims,113
santoro_sal,Santoro,105
mckcantrell,Cantrell,15
RepBurch,Burch,14
votemarkhart,Hart,44
kyrudy,Rudy,104
GeorgeBrownKY77,Brown G,10
RepHarrisKy,Harris C,42
dannycarrollky,Carroll D,18
RepRussMeyer,Meyer,74
JimDuPlessisKy,DuPlessis,27
wmscottwells,Wells,131
WillCoursey,Coursey,23
BunchGina,Bunch,13
KYJoeBowen,Bowen,8
DeanSchamore,Schamore,106
rick_rand,Rand,95
kysenatepres,Stivers II,118
MilesForKY,Miles,75
ReggieThomasKY,Thomas R,121
jbcatsfan,Blanton,7
reposborne,Osborne,86
WilSchroder,Schroder,108
KYHarperAngel,Harper Angel,41
DonnaMayfieldKY,Mayfield,66
RepGreer,Greer,39
RepHorlander,Horlander,50
RepJimDeCesare,DeCesare,24
RepJamesKay,Kay,58
Kyrepmeredith,Meredith M,72
jmnemes,Nemes,85
RepBratcherKY,Bratcher,9
JShellKY,Shell,111
CWESLEYMORGAN,Morgan,81
RepJoniJenkins,Jenkins,54
KenUpchurch,Upchurch,126
HornbackKY,Hornback,51
DavidMeadeKY,Meade,70
reptimmoore,Moore,80
BamCarney,Carney,16
repsteveriggs,Riggs,99
repwestrom,Westrom,134
DMurrayStOnge,St. Onge,116
Smithkysenate,Smith,115
fleming_ken,Fleming,31
SenatorSchickel,Schickel,107
LynnBechler,Bechler,4
JCarpenterKY,Carpenter,17
SenatorRayJones,Jones II,57
GeraldNeal33,Neal,83
Electalrobinson,Robinson,101
KennyImes,Imes,53
KyWhitney,Westerfield,133
KYStanHumphries,Humphries,52
mattCastlenKY,Castlen,20
SannieO,Overly,87
SenatorJimmy,Higdon,48
JillYork1,York,138
kychrismcdaniel,McDaniel,68
SenatorParrett,Parrett,90
MorganMcGarvey,McGarvey,69
BrandonReed4KY,Reed,96
MelindaPrunty,Prunty,93
Araysimp,Simpson,112
addiawuchner,Wuchner,137
KyPetrie,Petrie,91
Alvarado4Senate,Alvarado,3
JamesATipton,Tipton,123
kevinsinnette,Sinnette,114
repkoenig,Koenig,62
mikewilson2018,Wilson,135
KimberlyKingGOP,King,61
aliceforgykerr,Kerr,60
5boymom,Moser,82
maxwellwise,Wise,136
KYREPROWLAND,Rowland,103
RepLinderKY,Linder,64
DennisKeene,Keene,59
philmoffett,Moffett,79
KYHoover,Hoover,49
Rep_RobbyMills,Mills,78
jrajra,Adams,1
DChadM,McCoy,67
kellyflood,Flood,32
RepMeeks,Meeks,71
damon_thayer,Thayer,120
JerryTMiller,Miller J,77
atticascott,Scott,109
